immo_id,lat,lng,rent,sqm
85265980,52.5303,13.39141,1016.25,67.75
106642185,52.52523,13.46447,1050.0,67.28
106496225,52.45916,13.57574,788.47,76.55
106636953,52.53829,13.40909,880.0,55.2
82231957,52.53869,13.19984,695.0,62.96
106611499,52.53239,13.36673,1298.0,84.0
106611480,52.53239,13.36673,1298.0,83.0
106639069,52.41829,13.36091,729.0,84.79
106640830,52.52663,13.32983,1080.0,65.4
106639429,52.44187,13.29404,1500.0,150.3
105602068,52.54799,13.47879,495.88,55.78
106489102,52.54977,13.15362,490.0,61.12
106640652,52.51718,13.33728,725.0,42.2
106343116,52.53604,13.40317,1980.0,86.79
106487277,52.54977,13.15362,510.0,63.5
106338425,52.51896,13.5519,1250.0,107.0
106338432,52.51896,13.5519,1070.0,134.0
106312903,52.4528,13.52465,790.97,69.0
106488169,52.56074,13.42156,600.0,31.93
106642449,52.43919,13.57909,580.0,57.66
106441245,52.45919,13.57569,782.18,75.94
106482370,52.50608,13.29332,440.05,33.85
106487198,52.54781,13.447,900.0,62.25
106639008,52.49461,13.41843,560.0,31.11
106486773,52.47268,13.44992,690.0,37.33
106638780,52.53675,13.37806,1800.0,97.0
87350495,52.38145,13.41732,1150.0,99.74
106486398,52.43343,13.30659,1697.89,107.0
106638401,52.41888,13.36161,640.0,74.52
106242980,52.43327,13.30643,635.83,48.91
80860781,52.50901,13.22403,2114.16,213.77
82092937,52.55028,13.15365,528.0,65.93
106513202,52.57476,13.41874,809.0,76.82
106637106,52.46348,13.3169,930.0,87.26
106637077,52.41872,13.36172,784.0,91.23
59185386,52.50947,13.40423,2195.76,156.84
106637982,52.49614,13.32088,3700.0,201.51
106590804,52.52051,13.31605,1400.0,85.0
52044213,52.50538,13.37562,3199.72,178.47
106485276,52.46884,13.5111,580.0,38.75
106637176,52.5122,13.47455,940.0,55.0
106637163,52.51889,13.46659,980.0,49.82
106465658,52.51116,13.4392,1010.0,55.81
106592399,52.52703,13.45166,1095.0,60.7
84367643,52.50609,13.4704,1100.0,99.88
106635532,52.42062,13.28635,1978.0,198.0
106483551,52.42792,13.15526,2284.0,190.32
106336584,52.52661,13.38672,2890.0,206.0
106589639,52.50716,13.32649,2100.0,175.0
99319535,52.58379,13.4077,1590.0,147.08
106439164,52.5456,13.41684,1639.0,125.56
105401697,52.47579,13.29332,2160.0,120.0
106338440,52.51896,13.5519,1350.0,156.0
106482327,52.4661,13.42798,582.0,68.53
106620563,52.53787,13.40341,1188.0,66.0
69650982,52.44137,13.27944,1750.0,171.6
106619901,52.44272,13.58496,820.0,65.55
105803193,52.53382,13.34657,2600.0,175.0
101773333,52.51373,13.39715,1450.0,109.0
104625507,52.51523,13.3888,2225.0,110.0
106328308,52.51264,13.39046,1604.4,80.0
101628957,52.50735,13.37382,1600.0,93.19
102983598,52.50735,13.37382,1650.0,93.27
104371594,52.50749,13.37333,1550.0,86.49
101628962,52.50735,13.37382,1750.0,93.8
105016805,52.50749,13.37333,1950.0,115.93
102962833,52.50751,13.37355,1650.0,93.27
102962834,52.50751,13.37355,1900.0,111.54
99461356,52.50751,13.37355,1740.0,105.97
101487752,52.50751,13.37355,1750.0,105.97
103875883,52.54042,13.4244,1590.0,111.57
106480384,52.50204,13.17986,671.0,69.28
104135463,52.56096,13.43344,485.0,21.0
106150230,52.5014,13.32925,1194.75,95.58
106198345,52.50556,13.41143,1016.0,61.57
106287701,52.53945,13.41157,1530.0,102.06
106340887,52.48072,13.42281,1406.0,74.0
105846248,52.54474,13.41185,1438.5,143.85
106289141,52.57413,13.21446,674.0,78.32
65208671,52.46589,13.32986,1400.0,140.0
106586547,52.58156,13.40656,1365.0,129.89
106613788,52.47648,13.4387,499.0,36.89
106614253,52.52682,13.57612,948.45,94.94
43136446,52.5109,13.29265,2234.0,180.29
96967780,52.45662,13.38486,595.0,70.0
102345690,52.47701,13.28251,969.0,114.0
100551781,52.51582,13.3127,570.0,61.7
106454219,52.41376,13.4155,685.4,68.54
106365387,52.53563,13.41778,1330.0,110.0
106609674,52.44948,13.63161,897.26,77.35
95947379,52.49532,13.29251,1030.82,74.16
106631896,52.44948,13.63161,1240.4,109.77
74628866,52.52092,13.33396,984.48,93.76
106322062,52.55404,13.44807,1044.0,102.39
105980132,52.49978,13.29111,640.0,46.0
106050760,52.54195,13.19902,545.0,36.5
62415596,52.59284,13.32803,624.36,68.83
99996570,52.45015,13.37927,675.49,73.78
105946155,52.51037,13.47432,1800.0,105.81
105943586,52.52155,13.43462,1300.0,78.47
79468594,52.52413,13.41817,3390.0,55.0
105751341,52.53882,13.41037,1750.0,93.53
105645727,52.56358,13.39276,645.0,36.68
106092241,52.52382,13.40914,1216.0,90.04
105730267,52.51708,13.16863,1030.7,93.7
105906084,52.62284,13.29697,1234.0,117.49
104989500,52.46199,13.48039,600.0,54.79
105642780,52.41645,13.39922,739.0,67.2
102089380,52.45391,13.5764,650.0,60.38
106620393,52.55597,13.37428,750.0,61.55
106619555,52.49575,13.2961,750.0,54.36
104439175,52.49484,13.50364,744.0,62.0
105640318,52.49484,13.50364,599.4,54.0
105641319,52.49484,13.50364,865.8,78.0
106461473,52.43945,13.35115,1038.75,83.1
106619262,52.52295,13.45044,837.64,98.31
106618589,52.49611,13.32434,1000.0,42.0
106321878,52.48341,13.36054,623.0,31.15
106618754,52.52325,13.3539,795.0,41.58
93828587,52.46329,13.43719,1110.12,92.51
77676735,52.47362,13.45542,522.89,60.66
106617723,52.59184,13.37685,663.89,67.06
105103752,52.59147,13.37706,693.11,65.76
106617427,52.44262,13.58461,966.0,84.0
69608308,52.60794,13.41868,856.9,85.69
106516868,52.51418,13.48387,826.0,59.0
106320083,52.527,13.45142,1310.0,72.87
105511899,52.50874,13.46918,872.0,61.77
105424084,52.4876,13.32682,2149.47,111.87
104318379,52.52662,13.34497,1000.0,98.0
105769737,52.51046,13.29322,1149.0,107.3
105751703,52.5656,13.20972,629.0,66.84
106615231,52.48668,13.32599,1360.0,86.42
106614938,52.59254,13.37807,882.3,83.71
106317459,52.49933,13.43343,2600.0,172.0
106614860,52.52144,13.25852,880.0,57.33
105872244,52.51746,13.47061,1740.4,134.0
106456390,52.50784,13.44985,1200.0,92.86
105998583,52.59103,13.40841,583.0,56.0
106614426,52.52553,13.3198,386.0,19.3
104638542,52.52737,13.38197,765.0,47.9
72029556,52.57484,13.41873,594.0,51.6
106457087,52.49897,13.32418,750.0,44.5
106455179,52.59007,13.27675,1384.15,89.3
106513075,52.54498,13.37589,560.0,63.19
106316033,52.50957,13.27378,784.0,53.52
106069860,52.47347,13.28744,1331.0,121.0
106314087,52.51673,13.16838,1030.7,93.7
99132661,52.55363,13.40979,943.0,33.28
106454011,52.48556,13.38542,966.68,87.88
106003257,52.48573,13.37444,1300.89,134.67
79261198,52.44336,13.38513,550.0,58.0
106609477,52.55884,13.57469,237.54,32.54
106302200,52.53007,13.31723,524.0,37.4
105791571,52.44123,13.54391,1830.0,121.99
105791263,52.44123,13.54391,1888.0,125.86
105790089,52.44123,13.54391,1381.0,96.91
103874371,52.48178,13.4244,1550.0,132.0
84371751,52.50116,13.34005,3999.0,173.43
105723536,52.53149,13.19903,688.75,95.66
64610384,52.44517,13.57713,810.0,73.44
105170840,52.5132,13.43177,1270.0,69.6
100723183,52.45394,13.61034,1240.0,124.0
105722399,52.43007,13.32349,2100.0,140.0
106586608,52.58156,13.40656,1520.61,151.29
106530835,52.537,13.50768,639.87,60.94
104163948,52.53884,13.50773,799.58,76.15
58153735,52.50887,13.26833,565.0,62.0
106455547,52.51966,13.54563,764.14,76.49
106455553,52.52658,13.57625,876.22,87.71
58835430,52.45643,13.38458,760.0,88.4
106296522,52.46628,13.30674,900.96,75.08
106455552,52.52658,13.57625,876.22,87.71
63008829,52.40267,13.41701,537.15,58.52
106366438,52.53635,13.36999,1965.2,115.6
106461630,52.46154,13.30792,850.0,59.16
105925666,52.50031,13.29169,660.0,36.69
105923938,52.5636,13.396,850.0,49.04
105923441,52.5636,13.396,1200.0,80.23
105923255,52.55435,13.34813,1000.0,56.91
105923175,52.55495,13.34554,910.0,61.18
105915465,52.48437,13.44749,1150.0,74.38
105572955,52.46296,13.5839,822.0,57.56
106295502,52.49771,13.35263,567.0,35.38
90991987,52.55781,13.38881,1155.0,105.0
106032451,52.47946,13.44845,1105.63,88.45
97364042,52.5084,13.4594,1232.0,56.0
50969684,52.47246,13.44285,1750.0,206.32
105171898,52.54405,13.24326,649.0,77.91
106004694,52.58554,13.30052,645.0,46.0
106596484,52.5015,13.45687,1176.0,98.0
106596197,52.51141,13.28413,530.0,29.1
84483254,52.44566,13.29466,800.0,93.0
83914799,52.51623,13.3115,360.0,35.6
106595193,52.49898,13.46429,787.8,52.52
106594639,52.52971,13.40892,935.0,58.41
105253130,52.49533,13.36056,1510.76,131.37
106000375,52.63854,13.49036,1020.0,106.0
106513380,52.49093,13.37885,1475.0,109.0
105766922,52.51896,13.5519,1250.0,107.0
105123745,52.4126,13.3017,486.15,68.86
106341802,52.50804,13.28583,1545.0,119.0
106592691,52.52125,13.19665,523.6,72.22
106591753,52.53916,13.41095,1215.5,71.5
106440583,52.43243,13.57142,615.0,84.2
103129633,52.434,13.55268,1083.18,94.19
106591785,52.52382,13.40914,974.0,69.52
106315954,52.50597,13.37535,1150.0,56.1
83045346,52.53566,13.14673,738.68,106.13
106591376,52.48978,13.45248,2069.48,148.0
106591004,52.52389,13.37957,1378.0,88.9
106589903,52.54855,13.39632,520.0,20.5
106438479,52.52538,13.47083,1240.0,87.85
68115860,52.49107,13.41251,1007.5,65.0
106589207,52.44198,13.22317,2307.0,170.87
106436766,52.52598,13.39887,1490.0,103.47
106342334,52.50118,13.35743,1226.89,72.17
105997069,52.412,13.55819,737.38,52.67
105340687,52.50702,13.30296,1358.4,113.2
97569911,52.56872,13.31691,805.0,100.6
106587285,52.46539,13.42028,800.0,39.5
106434812,52.47576,13.29547,1006.12,133.71
105168335,52.55755,13.33354,622.0,52.2
106584498,52.52433,13.30141,949.0,81.65
106509226,52.49034,13.37073,791.5,53.48
106534147,52.50273,13.38423,1360.0,82.1
106507924,52.45093,13.43642,787.5,75.0
105029206,52.53728,13.50827,818.9,77.99
105550823,52.54855,13.39632,480.0,20.5
106237338,52.51936,13.44653,1300.0,81.1
105898458,52.55543,13.41725,550.0,32.64
105851665,52.56618,13.35043,850.0,43.06
105849682,52.43552,13.27536,1110.0,79.3
105796025,52.52155,13.43462,915.0,41.03
54883999,52.52582,13.33486,575.11,60.69
106093124,52.47893,13.34644,980.0,61.0
106075871,52.51718,13.33728,775.0,42.2
105728516,52.5413,13.35386,1300.0,106.44
105708384,52.56062,13.42149,550.0,39.14
105248371,52.51037,13.47432,1200.0,65.27
89321753,52.49516,13.29275,1484.92,115.11
106150614,52.49913,13.46381,1472.0,109.0
81097214,52.41443,13.65333,619.0,71.14
106245622,52.49891,13.38969,777.0,70.58
106244171,52.54145,13.27011,679.0,60.32
105751455,52.46061,13.52336,998.0,70.46
106445634,52.49893,13.29075,1200.0,91.0
105943719,52.43744,13.58259,726.0,73.73
106570653,52.45143,13.27401,799.0,60.0
106569935,52.49182,13.41887,545.0,55.0
106569769,52.49096,13.34836,495.0,55.21
106568184,52.50874,13.46918,1227.0,91.19
105135589,52.52316,13.3864,2990.0,140.0
105598564,52.5083,13.46689,1590.0,106.74
105597227,52.5083,13.46689,1295.0,90.12
105596929,52.50879,13.46679,1115.0,60.7
105596277,52.50854,13.46662,1225.0,75.37
104509396,52.50898,13.46694,880.0,64.01
102921792,52.51085,13.31802,890.0,39.0
106051925,52.52087,13.19716,1124.0,112.4
105015011,52.53652,13.37052,2275.32,122.99
105014770,52.53652,13.37052,1937.69,104.74
104990506,52.53635,13.36999,1786.73,96.58
104990227,52.53635,13.36999,1802.09,97.41
104990035,52.53635,13.36999,1779.75,101.7
104989645,52.53635,13.36999,2084.44,115.58
104989482,52.53635,13.36999,1738.98,99.37
104989157,52.53635,13.36999,1329.65,75.98
104882921,52.50376,13.44717,1068.96,62.88
104882604,52.51656,13.47251,777.27,59.79
90958912,52.51743,13.4543,884.0,68.0
84040841,52.51704,13.47076,1393.34,121.16
71740101,52.5502,13.46012,977.7,65.18
69071216,52.5857,13.40218,1229.64,102.47
98863427,52.61392,13.42286,781.0,65.13
106505596,52.50423,13.50947,763.59,64.49
106455554,52.52658,13.57625,777.42,77.82
106046414,52.50419,13.37453,1730.0,85.3
106368473,52.42151,13.41205,533.97,59.33
106197269,52.52073,13.35822,700.0,34.28
106195422,52.51718,13.33728,825.0,42.2
106165390,52.47438,13.42121,1200.0,57.39
106146862,52.4986,13.3878,1250.0,61.62
84978226,52.41904,13.3489,755.0,74.09
105345209,52.54581,13.18658,513.0,64.04
105941391,52.52382,13.39136,1985.0,107.5
105843491,52.48988,13.42848,1126.0,97.85
106317245,52.50142,13.3255,5135.0,302.01
105776143,52.52981,13.31562,4487.0,224.0
106553866,52.52247,13.38635,1890.0,111.0
105573386,52.55995,13.33306,873.0,73.26
106343709,52.51044,13.45616,1040.0,67.69
106298590,52.58309,13.33701,980.0,115.1
77925081,52.58295,13.3046,599.0,58.7
106052915,52.63192,13.28577,1125.0,124.48
106469108,52.50643,13.34859,699.0,62.95
85112861,52.42963,13.33824,490.0,37.63
102033177,52.51962,13.43766,1084.33,83.41
92804568,52.40259,13.41311,537.15,58.52
106384672,52.50078,13.43927,1640.0,106.66
106382866,52.48812,13.37456,1050.0,30.68
105290914,52.47087,13.4473,740.0,37.0
105274484,52.48623,13.44548,800.0,45.1
106535859,52.49185,13.32242,550.0,44.0
106455546,52.51966,13.54563,950.75,95.17
106171694,52.4247,13.57594,995.0,45.0
89321681,52.49532,13.29251,1123.54,80.83
105396800,52.42151,13.41205,634.89,66.83
97358681,52.50827,13.45939,1120.0,62.3
106198357,52.52325,13.3539,695.0,41.57
106458574,52.51508,13.42114,895.0,42.6
106457177,52.51782,13.45464,1100.0,74.45
104480699,52.49104,13.35297,395.0,38.0
104267024,52.49913,13.46381,1471.1,108.97
106455472,52.45429,13.57619,776.17,86.26
103808302,52.5113,13.30336,990.0,37.0
106198629,52.5502,13.35739,760.0,84.8
106515170,52.56079,13.44604,924.0,87.94
105495834,52.51707,13.25903,955.0,84.96
106363345,52.55681,13.46669,929.0,101.45
103488826,52.55282,13.43391,1775.0,120.8
103488781,52.55282,13.43391,1965.0,135.58
104832011,52.55282,13.43391,1959.0,133.55
104485153,52.55282,13.43391,1795.0,121.59
106538818,52.53436,13.37993,1594.67,98.13
106538759,52.53437,13.38011,2026.28,132.85
106538732,52.53437,13.38011,2338.37,146.18
106538709,52.53437,13.38011,2203.94,144.58
106538684,52.53437,13.38011,2127.57,132.99
106538581,52.53437,13.38011,1744.88,109.07
106538515,52.53465,13.38088,2191.33,132.89
106538460,52.53465,13.38088,2006.02,118.05
106538416,52.53465,13.38088,1860.12,116.22
106538401,52.53465,13.38088,1482.22,85.97
106538372,52.53465,13.38088,2406.75,126.63
106538323,52.53437,13.38011,2411.61,146.13
94143225,52.45958,13.52425,545.0,67.78
80307051,52.52403,13.40771,3200.0,181.98
106535726,52.46753,13.48482,608.0,67.48
106536148,52.60118,13.24449,595.0,54.0
106535041,52.44483,13.29972,1771.0,181.0
106385147,52.52364,13.45025,1695.0,145.0
106385128,52.54903,13.41259,1679.0,140.0
106534808,52.5432,13.20322,470.0,53.37
106534001,52.4876,13.32682,1999.95,111.0
106383690,52.49833,13.32421,907.0,55.0
106533776,52.50952,13.30924,2050.0,137.0
106382839,52.51374,13.4344,1085.0,90.0
106536476,52.47886,13.3366,570.0,26.0
106532899,52.50151,13.4559,749.0,75.25
106382655,52.55007,13.46327,798.0,74.0
106532393,52.4908,13.43446,740.0,37.0
106532076,52.51575,13.45164,959.0,63.91
106531315,52.4528,13.53816,671.8,67.18
105604984,52.4951,13.34041,550.0,29.0
106536044,52.54345,13.37245,450.0,19.5
106531092,52.55433,13.38849,688.0,59.78
106510750,52.46723,13.38027,1247.52,77.97
103759622,52.51929,13.38591,2400.0,135.02
106529037,52.52176,13.35095,845.0,82.03
99964059,52.50269,13.48296,755.52,32.15
106241716,52.50869,13.30742,672.0,50.0
106166913,52.56758,13.37017,326.12,42.63
106025108,52.54844,13.20207,1100.0,91.3
105797051,52.5132,13.43177,710.0,28.8
105416978,52.48213,13.44469,900.0,52.61
105403153,52.56554,13.3517,813.0,56.32
105397287,52.515,13.42133,1150.0,63.62
105354412,52.4523,13.52738,750.0,69.01
105354063,52.46569,13.51009,835.0,62.47
105320745,52.48263,13.36313,1150.0,60.71
105320173,52.48442,13.35972,850.0,51.23
100542224,52.48527,13.37393,599.0,20.0
105708155,52.48527,13.37393,769.0,22.0
106290918,52.56254,13.20031,627.35,77.45
99480502,52.41061,13.35861,776.25,86.25
62842586,52.40271,13.41794,752.92,81.86
106462359,52.56758,13.31443,1020.0,85.67
106461303,52.56554,13.3517,1195.0,93.45
106459584,52.51097,13.40928,1350.0,53.08
105730246,52.4879,13.32145,2150.0,114.0
105921394,52.51252,13.44773,760.0,38.71
105954305,52.53967,13.51952,699.34,81.13
106519598,52.54987,13.35514,1469.0,104.12
106367499,52.43324,13.30617,1280.15,80.0
106336644,52.52223,13.38329,1885.0,99.23
106511289,52.4528,13.53816,831.0,83.1
106509451,52.4528,13.53816,892.1,89.21
106366719,52.55095,13.41284,926.86,66.68
105602463,52.50576,13.41212,1060.48,66.28
106514613,52.52673,13.32993,945.0,57.27
106514167,52.56128,13.44431,524.0,45.49
92663269,52.44663,13.56918,479.0,45.65
106514037,52.52925,13.31742,1020.0,60.87
106365152,52.5122,13.47455,700.0,35.4
106513488,52.56116,13.44316,527.0,47.84
106364639,52.51116,13.4392,1230.0,70.12
106364621,52.51891,13.46671,1080.0,50.34
105395472,52.55975,13.45953,649.0,59.46
106363988,52.56215,13.39908,1200.0,73.3
102660854,52.52517,13.47078,1020.0,67.97
106224278,52.52118,13.30311,950.0,55.0
106008609,52.51469,13.38749,2875.0,125.0
106007878,52.51469,13.38749,2750.0,125.0
