listing_id,id,date,reviewer_id,reviewer_name,comments,language
321308,1088302525908612358,2024-02-10,48960983,Lina,"Die Kommunikation war perfekt. Ein- und Auschecken hat wunderbar funktioniert. Heike und Heinrich sind sehr nett und waren immer erreichbar. <br/>Die Wohnung ist nicht ganz so ruhig, wie wir es uns gewünscht hätten (1. Stock direkt an der Straße und Bushaltestelle, sehr hellhörig). Die Wohnung ist super erreichbar.  Der Bus fährt direkt vor der Tür und regelmäßig. Auch zur U-Bahn kommt man fußläufig. Restaurants, Cafés, Geschäfte - alles fußläufig erreichbar. <br/>Nur die Ausstattung ließ etwas zu wünschen übrig: es war ganz genau das da, was für drei Tage und 2 Personen reichen sollte (Toilettenpapier,  Geschirrhandtuch, Geschirr etc.).",de
321308,1097028404256873827,2024-02-22,182802002,Laura,Es hat alles gepasst! Gemütliche Wohnung in einer ruhigen Gegend. Bus Haltestelle und U-Bahn sowie Supermärkte in der Nahe. Gute Kommunikation mit Heinrich & Heike,de
321308,1104222994551663274,2024-03-03,338726631,Susanne Und Andreas,"Wir haben uns sehr wohl gefühlt und wären gern noch länger geblieben, was unsere Zeit leider nicht erlaubte.",de
321308,1113633425026260065,2024-03-16,32133075,Maria,"Alles war reibungslos. Leider ist die Wohnung sehr laut, aber man kann nichts dafür.",de
321308,1116614583027181223,2024-03-20,12129324,Martha-Maria @/(*_*)\@,"Sehr saubere Wohnung und hilfsbereite Vermieter.<br/>Es gibt die Möglichkeit, das Auto vor Ort parken zu können, ein großer Vorteil !!<br/>Perfekt für einen kurzen Trip in die Hauptstadt!",de
321308,1119459857142682722,2024-03-24,332236422,Barbara,Überaus netter Kontakt zu Heike und Heinrich. Gut ausgestattete Wohnung. Ideal für ein Kurztripp nach Berlin. Beim nächsten Mal wieder gerne.,de
229099,1062197344677255603,2024-01-05,38066428,Uwe,Es war hervorragend bei Hannes <br/>er hat mich sogar vom S Bahnhof abgeholt <br/>Und am nächsten Morgen zu Nachtschlafender Zeit zu Flugplatz gefahren <br/>Selbst verständlich für ein kleines Endgeld <br/>Komme bestimmt noch mal wieder 😱<br/>Danke für so eine tolle Gastfreundschaft <br/>Liebe Grüße Uwe,de
68448,1094853815173499643,2024-02-19,54815622,Marie,Nette Wohnung in einer tollen Lage! Schöne Restaurants sind in der Nähe. Wir haben uns wohl gefühlt!,de
229348,1108548202381774535,2024-03-09,560107188,Gabriele,"Wir waren mit dem Studio sehr zufrieden. Hatte alles was wir wollten. Schnell zu U- und S-Bahn, schnell zum Einkaufen. Tolles Restaurant in der Nähe - Marjans Grill. The Lir , ein Irisher Pub hat uns auch gut gefallen. Zum Bundestag sind wir schön an der Spree-entlang zu Fuß gelaufen. Der Ku-Damm war für uns auch fußläufig erreichbar. Wir hatten jeden Tag volles Programm und würden diese Unterkunft jederzeit wieder buchen.",de
229348,1115119167861230131,2024-03-18,321419055,Monika,Alles war ok.und für unsere Bedürfnisse hervorragend. Der zum Haus gehörende Parkplatz war gut und die Nähe zu U und S Bahn hervorragend.,de
229363,1063629987952502127,2024-01-07,383126629,Stergios,Die Kommunikation mit Annika war unkompliziert. Die Wohnung entsprach den Fotos. Die Lage ist ein großer Vorteil mit sehr guter S Bahn und U Bahn Verbindung. Insgesamt sehr zufrieden.,de
322520,1063613506873596298,2024-01-07,17137778,Max,"Die Wohnung ist mit allem Notwendigen ausgestattet und ruhig gelegen! Man kommt auch gut in die Stadt! <br/>Während unseres Aufenthalts ist die Heizung ausgefallen. Der Anbieter hat uns einen Rabatt und eine andere Unterkunft angeboten.<br/>Nicht zufriedenstellend war allerdings das kaputte Türschloss der Gebäudetür, die vor der Wohnungstür aufgeschlossen werden muss. Da diese aufgrund eines ausgefrästen Schließzylinders nicht funktionierte, mussten wir an zwei Abenden (jeweils nach 22h) bei den anderen Hausbewohnern klingeln, um ein Öffnen zu erbitten. Wir haben den Anbieter daraufhin kontaktiert. Dieser wusste von diesem Umstand, hat uns aber im Vorfeld nicht in Kenntnis gesetzt und hatte auch keine andere Hilfe/Lösung, als für das Öffnen am letzten Tag unseres Aufenthalts auch auf die Hilfe der anderen Hausbewohner zu hoffen. Da hätten wir mindestens frühzeitige Informationen erwartet.",de
322520,1087612739850256864,2024-02-09,154934291,Katharina,"Wir waren zu Zweit von Dienstag bis Freitag in Berlin bei Kasia und Alan in der Unterkunft, haben uns dort sofort wohlgefühlt! Es ist minimalistisch, aber trotzdem gemütlich eingerichtet, die Ausstattung der Küche, des Bads und des Bettes sowie des Esstischs war mehr als ausreichend für den Zeitraum. Der Kühlschrank, die Küche, das Bad und auch die Bettwäsche waren sehr sauber und die Lage ist optimal, auch wenn man auf den ÖPNV angewiesen sein sollte! Außerdem waren Kasia und Alan super fix und freundlich im Beantworten aller Fragen, haben einen tollen Guide in der Wohnung ausgelegt mit Tipps auf Englisch für Unternehmungen in Berlin und der Check-in sowie Check-out waren problemlos, obwohl wir eine Stunde zu früh da waren.<br/>Gerne wieder!",de
322520,1099866056817893530,2024-02-26,480862947,Mathis,"Alles super, gute Lage und angenehmer Aufenthalt",de
229776,1099210336589219993,2024-02-25,201115649,Andrea,"Zum 2. Mal diese tolle Unterkunft gebucht.<br/>Die Lage liegt zentral in Berlin Mitte, Zimmer ist ruhig, wenn man möchte kommt Katzenbesuch. Arne ist ein herzlicher, offener und gelassener Gastgeber. Absolut empfehlenswert.",de
80843,1115825654142950127,2024-03-19,88999096,Sadra,Ich hatte eine sehr schöne Zeit in der Wohnung von Oliver. Großes Dankeschön für die Tipps und die sehr gute und freundliche Kommunikation/Austausch mit Oliver und seinem Vater.,de
238396,1099177879050287680,2024-02-25,510903561,Hamide,Der Aufenthalt war super! Sowohl der check in als auch alles andere waren sehr unkompliziert und der Gastgeber sehr freundlich.,de
323259,1094120922517983867,2024-02-18,117764483,Martin,"war alles sehr unkompliziert, von check in bis check out. Die Lage war für uns perfekt! Immer wieder gerne!",de
242794,1063707252812832965,2024-01-07,34920077,Felix,"Schöne Wohnung, die Kommunikation beim Check-in und Check out war nicht gastfreundlich.",de
341910,1089805186784430083,2024-02-12,442464436,Tassilo,"Man bekommt, was man sieht.  Bodenständige Unterkunft mit viel Platz. Good2know, liegt im Dachgeschoss ohne Aufzug.<br/>Ansonsten ein angenehmer, unkomplizierter Aufenthalt. Gerne wieder.",de
242978,1065137062664891971,2024-01-09,437553709,Bünyamin,"Es war wirklich super, Sauberkeit, Kommunikation usw.  Wir waren von der Größe überrascht, die Unterkunft ist größer als es aussieht. <br/>Empfehle ich die Unterkunft? JA!",de
242978,1096341322774750504,2024-02-21,171700130,Edem,"Alles sehr gut gewesen, Kommunikation war top.",de
242978,1118787813701724903,2024-03-23,566891176,Theiss,"Alles mit der Bahn gut erreichbar, sowie auch der Gastgeber.",de
344856,1072403914610180381,2024-01-19,407931139,Edith,"Wundervoll! Ein wunderbares Apartment, eine tolle Lage, und der beste Gastgeber, den man sich wünschen kann. Apostolos ist außerordentlich umsichtig, freundlich und hilfreich. Ich durfte nun schon einige Male hier übernachten und freue mich auf das nächste Mal. Immer wieder sehr gern!",de
344856,1073852314638879127,2024-01-21,24352667,Sascha,"Es war einfach eine super AirBnb-Erfahrung. Wohnung top, Lage top, Apostolos top. Dafür wurde AirBnB erfunden…",de
344856,1103576050900808010,2024-03-02,450941916,Christoph,"Ich war leider nur eine Nacht in Berlin. Aber das Appartment war super. Das Bad war mit allem ausgestattet, die Küche hatte Kaffee, Tee, Gewürze und alles weitere zum kochen war da. Das Bett war bequem, es war genug Bettwäsche da, auch falls es kälter wird. Ein süßer kleiner Innenhof zum Rauchen und Kaffee trinken. Nachts war es super leise, das Appartment hat auch eine super Lage, abends findet man nette Bars und Restaurants. Ich komme gerne wieder",de
344856,1107928362906924835,2024-03-08,33132091,Werner,"Apostolos hat mich sehr freundlich empfangen und sehr gut mit der Wohnung vertraut gemacht. Ein Übersichtsplan mit Einkaufsmöglichkeiten in der Nähe liegt in der Wohnung und er hat mir gleich einen guten Tip gegeben, wie ich am Abend problemlos zu einer Veranstaltung komme. Er war immer ansprechbar, persönlich in seinem Antiquariat im Vorderhaus oder per Social Media und war ein interessierter und kundiger Gesprächspartner. Ich habe mich in dem Viertel und in der Wohnung sehr wohlgefühlt und ein paar schöne Tage verbracht. Ich kann die Wohnung und den Gastgeber gerne weiterempfehlen.",de
344856,1110825856436530771,2024-03-12,25622007,Werner,"Wir haben 4 Nächte in der Wohnung verbracht und haben uns sehr wohl gefühlt. Apostolos hat uns sehr herzlich begrüßt und viele gute Ratschläge gegeben. Die Wohnung liegt wirklich sehr zentral in Friedrichshain und die nächste U-Bahn-Station ist nur wenige Fußminuten entfernt. Auch das Parken unseres Autos hat gut funktioniert, ganz in der Nähe gibt es Parkhaus für nur 14,- € pro Tag. Cafes und Restaurants gibt es in Fußreichweite jede Menge, die Auswahl ist riesig!. Uns hat sehr gefallen, das die Wohnung trotz der zentralen Lage sehr ruhig war, wir konnten nachts sehr gut schlafen. Beim nächsten Besuch in Berlin werden wir die Wohnung gerne wieder mieten.",de
344856,1114403738592779214,2024-03-17,558417053,Ute,"tolle Lage, wunderbare gemütliche Unterkunft, superfreundlicher Gastgeber. Wir würden dort auf jeden Fall wieder buchen und können somit alles wärmstens weiterempfehlen.",de
85560,1103503382344787101,2024-03-02,82535671,Gaby,"Sehr schön gelegen, alles hat gepasst, ruhig, sauber, freundlich.... Supermarkt in der Nähe, Bahnhof auch zu Fuß möglich, gute Verkehrsanbindung.... jederzeit wieder",de
85560,1109365525036271579,2024-03-10,249644214,Yvonne,"Sehr schöne, gemütliche Altbauwohnung. Super zentral und doch sehr ruhig. Wirklich zu empfehlen.",de
362076,1089721256334927602,2024-02-12,396580740,Jessica,"Sehr zentrale Wohnung, von der man aus alles super easy erreichen kann. Die Aussicht ist der Hammer! Gastgeberin Rudie ist sehr freundlich und hilft einem schnell weiter. Wir waren gerne dort.<br/>Dinge, auf die man sich einstellen sollte, für die Rudie aber nichts kann (!!!)<br/>Die Aufzüge riechen häufig sehr streng und kleben auf dem Boden. Man sollte genau schauen, in welchen man einsteigt. Es sind 4 Stück vorhanden. Da lohnt es sich auch mal zu warten.",de
362076,1092712575908631075,2024-02-16,116800861,Thomas,"Tolle Lage, fantastische Aussicht,  sehr zentral, geräumig und gemütlich.",de
115576,1093436106647466110,2024-02-17,11636120,Daniela,"Die Wohnung ist ein Traum und man kann sich in der ruhigen Wohngegend gut von der quirrligen Stadt erholen! Wir haben den Aufenthalt sehr genossen und müssen unbedingt nochmal im Sommer kommen, um auch den schönen Garten nutzen zu können :-)<br/>Axel und Birgit sind freundlich und zuvorkommend - wir hatten eine tolle Zeit! Danke!",de
243238,1060060814423539917,2024-01-02,277910274,Patrick,Die Wohnung war sauber und hatte alles was man für einen kurzen Aufenthalt braucht. Katharina ist eine nette Gastgeberin und sehr zuvorkommend.,de
243238,1061441512849677709,2024-01-04,91102665,Bettina,"Wir waren weitestgehend zufrieden mit dem Aufenthalt. Alles war wie beschrieben und die Fotos stimmen ebenfalls. Das Schöne war, dass das Wohnzimmer separat vom Essbereich durch eine Tür getrennt war, sodass wir abends die Kids schlafen legen konnten und uns dann noch am Tisch unterhalten konnten, ohne die Kids zu wecken :). Der Kontakt mit Katharina war super. Das Einzigste, was uns leider gestört hat, war, dass es eine Kellerwohnung war und dementsprechend Schimmel ein Problem war. Zwar überstrichen, aber abundan hat man es in der Küchenzeile gerochen. Aber davon abgesehen, war echt alles voll in Ordnung :).",de
243238,1077490790484830409,2024-01-26,332611011,Lucas,Eine schöne ruhige Wohnung!,de
243238,1078834356294948638,2024-01-28,128860810,Lukas,Katharina ist eine sehr Liebe Gastgeberin. Die Unterkunft ist wie beschrieben und es gibt nichts zu beanstanden!,de
243238,1099236642775613084,2024-02-25,140711447,Franka,Eine tolle Unterkunft um Berlin zu erkunden aber trotzdem nicht mitten im Trubel zu sein. Mit Hund ideal. <br/>Alles was nan für einen Kurzurlaub braucht ist da.<br/>Katharina war sehr kommunikativ und nett. <br/>Alles prima!,de
362701,1099239401881161323,2024-02-25,36211653,Andreas,"Schön und stilvoll eingerichtete loftartige, cosy und gemütliche Wohnung. Küche gut eingerichtet. Sehr guter U-Bahn Anschluss. Lebhafte Umgebung, die Wohnung liegt aber total ruhig im Hinterhaus fast direkt an der Spree. Sehr schöne Innenhöfe. Wir haben uns sehr wohlgefühlt. Ursula war eine stets erreichbare und sehr freundliche Gastgeberin. Wir kommen gerne wieder.",de
